"","price","Oil.supply.surprise.series","Oil.supply.news.shock","Period","Log_price"
"1",11.64,0,-0.199014664,"1977M01",2.45444744230329
"2",11.8,0,-0.033770569,"1977M02",2.46809953147162
"3",11.88,0,-0.742127229,"1977M03",2.4748563139345
"4",11.75,0,0.608637142,"1977M04",2.46385324059017
"5",11.87,0,0.726877199,"1977M05",2.47401420862158
"6",11.98,0,-0.062437277,"1977M06",2.4832385926873
"7",11.9,0,0.238823898,"1977M07",2.47653840011748
"8",12.01,0,0.687103495,"1977M08",2.48573963609189
"9",12.01,0,-0.439089059,"1977M09",2.48573963609189
"10",12.12,0,-0.845783646,"1977M10",2.49485698064117
"11",12.18,0,0.507725709,"1977M11",2.49979526228175
"12",12.27,0,0.016296612,"1977M12",2.50715725872282
"13",12.13,0,-0.403184538,"1978M01",2.49568172295596
"14",12.19,0,-0.63323764,"1978M02",2.50061594349318
"15",12.23,0,-0.303651553,"1978M03",2.50389194969908
"16",12.2,0,-0.955257739,"1978M04",2.50143595173921
"17",12.35,0,-0.964319871,"1978M05",2.51365606307399
"18",12.48,0,0.117448879,"1978M06",2.52412736294128
"19",12.45,0,0.288456254,"1978M07",2.52172062291072
"20",12.46,0,-0.875287007,"1978M08",2.52252351335931
"21",12.57,0,0.652982105,"1978M09",2.53131302260216
"22",12.62,0,-0.244938584,"1978M10",2.53528285711307
"23",12.76,0,-0.464631471,"1978M11",2.54631527791664
"24",12.93,0,-0.524406077,"1978M12",2.55955019278377
"25",13.11,0,-0.311820639,"1979M01",2.57337529777561
"26",13.42,0,0.656855736,"1979M02",2.59674613154354
"27",13.7,0,0.199907868,"1979M03",2.61739583283408
"28",14.52,0,0.183130671,"1979M04",2.67552700939665
"29",15.4,0,0.209851797,"1979M05",2.73436750941958
"30",17,0,1.016136309,"1979M06",2.83321334405622
"31",18.58,0,0.540012008,"1979M07",2.92208573338569
"32",19.75,0,1.443952802,"1979M08",2.98315349134713
"33",20.14,0,0.646974793,"1979M09",3.00270788729042
"34",20.68,0,0.536950808,"1979M10",3.02916704964023
"35",22.04,0,0.671020307,"1979M11",3.09285898428471
"36",23.63,0,0.331134419,"1979M12",3.16251709119882
"37",24.81,0,-0.125360193,"1980M01",3.21124679770371
"38",26.11,0,1.022168375,"1980M02",3.26231838271104
"39",26.88,0,-0.168225832,"1980M03",3.29138251565495
"40",27.09,0,0.349047946,"1980M04",3.299164656097
"41",27.85,0,0.176200317,"1980M05",3.32683296637329
"42",28.8,0,-0.350265053,"1980M06",3.3603753871419
"43",28.73,0,-0.328349676,"1980M07",3.3579418729912
"44",28.7,0,-0.323858266,"1980M08",3.35689712276558
"45",28.96,0,-0.920011792,"1980M09",3.36591556751752
"46",29.56,0,-0.694588844,"1980M10",3.38642209608
"47",29.79,0,-0.150256975,"1980M11",3.39417276672519
"48",31.39,0,-0.357134029,"1980M12",3.44648937085386
"49",34.86,0,0.409185321,"1981M01",3.55134004009187
"50",37.28,0,-0.002747155,"1981M02",3.61845698981739
"51",37.48,0,0.403951328,"1981M03",3.62380745737022
"52",36.58,0,0.408986961,"1981M04",3.59950164296272
"53",36.11,0,0.243226032,"1981M05",3.58656983528937
"54",35.03,0,-0.068091689,"1981M06",3.5562048372094
"55",34.7,0,0.655120133,"1981M07",3.54673968695281
"56",34.46,0,-0.640639921,"1981M08",3.53979923109978
"57",34.11,0,0.261291083,"1981M09",3.52959059643055
"58",34.07,0,-0.002117358,"1981M10",3.52841723167288
"59",34.33,0,-0.07953815,"1981M11",3.5360196074696
"60",34.33,0,0.409048968,"1981M12",3.5360196074696
"61",33.95,0,0.117526924,"1982M01",3.52488885400471
"62",33.4,0,-0.689219466,"1982M02",3.50855589998265
"63",31.81,0,-1.147054529,"1982M03",3.45978070576105
"64",30.83,0,1.151274061,"1982M04",3.42848824189806
"65",31.02,0,0.417138906,"1982M05",3.43463215774839
"66",31.74,0,0.2159453,"1982M06",3.45757771509826
"67",31.74,0,-0.004618557,"1982M07",3.45757771509826
"68",31.45,0,0.847597437,"1982M08",3.44839898314645
"69",31.4,0,0.058948336,"1982M09",3.44680789291421
"70",31.98,0,0.43668697,"1982M10",3.46511070740581
